Artist,song_album,Title,song_release_date
Luke Combs,This One's for You Too (Deluxe Edition),One Number Away,2018-06-01
Luke Combs,This One's for You Too (Deluxe Edition),I Got Away with You,2018-06-01
Luke Combs,This One's for You Too (Deluxe Edition),Must've Never Met You,2018-06-01
Florida Georgia Line,Can't Say I Ain't Country,Talk You Out Of It,2019-02-15
Brett Young,Ticket To L.A.,Here Tonight,2018-12-07
Jon Pardi,Heartache Medication,Ain't Always The Cowboy,2019-09-27
Jon Pardi,California Sunrise,Night Shift,2016-05-13
Jon Pardi,California Sunrise,Heartache On The Dance Floor,2016-05-13
Jon Pardi,Heartache Medication,Heartache Medication,2019-09-27
Jon Pardi,Heartache Medication,Nobody Leaves A Girl Like That,2019-09-27
Jon Pardi,Heartache Medication,Don't Blame It On Whiskey,2019-09-27
Nate Smith,Wildfire,Wildfire,2019-06-07
Kane Brown,Mixtape Vol. 1 - EP,Worship You,2020-08-14
Tyler Braden,Love Is a Dead End Road,Love Is a Dead End Road,2020-08-07
Gabby Barrett,Goldmine,The Good Ones,2020-06-19
Maddie & Tae,Everywhere I'm Goin',Everywhere I'm Goin',2019-10-18
ERNEST,I Think I Love You / Insane,I Think I Love You,2019-10-04
Devin Dawson,Dark Horse,All On Me,2018-01-19
Dylan Scott,Dylan Scott (Deluxe Edition),Hooked,2017-08-04
Adam Doleac,Famous - EP,Famous,2020-04-17
Chris Stapleton,Starting Over,Starting Over,2020-08-27
Chase Rice,Lambs & Lions,Eyes On You,2017-11-17
Old Dominion,Old Dominion,One Man Band,2019-10-25
Kenny Chesney,All I Need To Know,Me and You,1995-06-12
George Strait,Pure Country,I Cross My Heart - Pure Country Soundtrack Version,1992-01-01
George Strait,Blue Clear Sky,Carried Away,1996-01-01
George Strait,Carrying Your Love With Me,Carrying Your Love With Me,1997-01-01
Kenny Chesney,Hemingway's Whiskey,You and Tequila,2010-09-28
Lady A,Ocean,Ocean,2019-09-20
Thomas Rhett,Center Point Road,Blessed,2019-05-31
Chase Rice,"The Album, Pt. I",Messy,2020-01-24
Jordan Davis,Cool Anymore,Cool Anymore,2019-11-08
Maddie & Tae,The Way It Feels,My Man,2020-04-10
Maddie & Tae,The Way It Feels,Write A Book,2020-04-10
Shania Twain,Up! (Green Version),Forever And For Always,2002-01-01
Carrie Underwood,Play On,Look at Me,2009
Thomas Rhett,Tangled Up (Deluxe),Die A Happy Man,2016-10-28
Chris Janson,Buy Me a Boat,Holdin' Her,2015-10-30
Craig Campbell,See You Try,Outskirts of Heaven,2018-06-08
William Michael Morgan,Vinyl,I Met a Girl,2016-09-30
Faron Young,The Complete Capitol Hits Of Faron Young,Hello Walls,2000-01-01
Conway Twitty,The Very Best Of Conway Twitty,Hello Darlin',1978
Marty Robbins,Gunfighter Ballads And Trail Songs,El Paso,1959
Kitty Wells,The Collection,It Wasn't God Who Made Honky Tonk Angels,2003-01-01
Buck Owens,All-Time Greatest Hits,Act Naturally,2010-08-31
Merle Haggard & The Strangers,Best Of The Best Of,Mama Tried,1972-01-01
Waylon Jennings,Nashville Rebel,"Luckenbach, Texas (Back to the Basics of Love)",2006-09-26
David Allan Coe,The Essential David Allan Coe,You Never Even Called Me By My Name,2015-10-02
Willie Nelson,Words Don't Fit The Picture,Good Hearted Woman,1972-03-01
Marty Robbins,Gunfighter Ballads And Trail Songs,Big Iron,1959
Conway Twitty,"Louisiana Woman, Mississippi Man","Louisiana Woman, Mississippi Man",1973-01-01
George Jones,Country Greats,The Race Is On,1997-01-01
Loretta Lynn,Gold,Coal Miner's Daughter - Single Version,2006-01-01
Willie Nelson,Walking the Line,Pancho and Lefty,1987
Conway Twitty,Number Ones,I'd Just Love To Lay You Down,1982-01-01
George Strait,Strait From The Heart,Amarillo By Morning,1982-01-01
Kenny Rogers,The Gambler,The Gambler,1978-11-20
Dwight Yoakam,"Guitars, Cadillacs, Etc., Etc.","Guitars, Cadillacs",1986
Merle Haggard,Greatest Hits - Finest Performances,Okie From Muskogee,1995-01-01
Conway Twitty,Red Neckin' Love Makin' Night,Tight Fittin' Jeans,1981-01-01
Randy Travis,Top 10,"Forever and Ever, Amen",2010-09-24
Conway Twitty,Southern Comfort,Slow Hand,1982
David Allan Coe,The Essential David Allan Coe,"Willie, Waylon and Me",2015-10-02
Willie Nelson,Always On My Mind,Always On My Mind,1982-02-01
Dolly Parton,Jolene,Jolene,1974-02-04
Charlie Rich,Love Songs,Behind Closed Doors,1970
Don Williams,Don Williams 20 Greatest Hits,I Believe In You,1987-01-01
Charley Pride,The Essential Charley Pride,Is Anybody Goin' to San Antone,2006-05-08
Randy Travis,Storms of Life,Diggin' Up Bones,1986-06-02
Kris Kristofferson,The Essential Kris Kristofferson,Me and Bobby McGee,2004-02-15
Don Williams,Don Williams 20 Greatest Hits,Tulsa Time,1987-01-01
Kenny Rogers,All The Hits And All New Love Songs,Islands In The Stream,1999
Don Williams,The Very Best Of,"Lord, I Hope This Day Is Good",1999-01-01
Buck Owens,All-Time Greatest Hits,Streets Of Bakersfield,2010-08-31
John Anderson,Greatest Hits,Seminole Wind,1996-10-15
Tennessee Ernie Ford,Capitol Collectors Series,Sixteen Tons,1991-01-01
Dolly Parton,Coat Of Many Colors,Coat of Many Colors,1971
Earl Thomas Conley,16 Biggest Hits,Holding Her and Loving You,1981
Don Williams,The Very Best Of Don Williams,Good Ole Boys Like Me,1992-01-21
Crystal Gayle,We Must Believe In Magic,Don't It Make My Brown Eyes Blue,1977-01-01
Lefty Frizzell,16 Biggest Hits,If You've Got the Money I've Got the Time,1950
Eddy Arnold,The Essential Eddy Arnold,Make the World Go Away,2013-11-19
John Anderson,Greatest Hits,Swingin',1996-10-15
Ernest Tubb,Retrospective: Volume 2,Waltz Across Texas,1987-01-01
Lefty Frizzell,American Originals,Long Black Veil,1980
Various Artists,True Country,The Happiest Girl In The Whole U.S.A.,2006-01-01
Bobby Bare,16 Biggest Hits,500 Miles Away from Home,1958
Glen Campbell,Galveston (Remastered),Galveston - Remastered 2001,1969
Bobby Bare,16 Biggest Hits,Detroit City,1958
Kenny Rogers,Daytime Friends: The Very Best Of Kenny Rogers,Lucille,1993-01-01
John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads","Take Me Home, Country Roads - Rerecorded",1997-06-17
Kenny Rogers & The First Edition,The Ultimate Collection,"Ruby, Don't Take Your Love To Town",1992-01-01
Bobby Bare,16 Biggest Hits,The Streets of Baltimore,1958
Roy Acuff,The Essential Roy Acuff,Wabash Cannonball,1938
Various Artists,True Country,Walk On By,2006-01-01
Merle Haggard & The Strangers,Best Of The Best Of,Silver Wings,1972-01-01
Sonny James,The Sonny Side,Young Love,1959-01-01
Various Artists,Columbia Country Classics Volume 3: Americana,Wolverton Mountain,1954
Porter Wagoner,The Essential Porter Wagoner,A Satisfied Mind,2013-06-04
David Houston,Number 1's - David Houston,Almost Persuaded,2011-03-15
Merle Haggard & The Strangers,Sing Me Back Home,Sing Me Back Home - 2001 Remaster,2001-01-01
Hank Thompson,Songs Of The Brazos Valley,The Wild Side Of Life,1956-01-01
Stonewall Jackson,The Best Of Stonewall Jackson,Waterloo,1992-06-09
Ferlin Husky,Country Greats,Wings of a Dove,2013-08-13
Tanya Tucker,Tanya Tucker / Super Hits,Would You Lay with Me (In a Field of Stone),1972
Kris Kristofferson,Jesus Was a Capricorn,Why Me,1972-11-01
Porter Wagoner,The Essential Porter Wagoner & Dolly Parton,The Last Thing On My Mind,2015-10-02
Marty Robbins,Marty Robbins - 16 Biggest Hits,Singing The Blues,1952
Skeeter Davis,The Essential Skeeter Davis,The End of the World,2015-10-02
Marty Robbins,Marty Robbins - 16 Biggest Hits,A White Sport Coat (And a Pink Carnation) (with Ray Conniff),1952
Roy Orbison,In Dreams,Blue Bayou,1963-07
Porter Wagoner,The Essential Porter Wagoner & Dolly Parton,Just Someone I Used to Know,2015-10-02
The Everly Brothers,The Very Best of The Everly Brothers,All I Have to Do Is Dream,1964-08-01
Brenda Lee,Anthology 1956-1980 (Volume 1 & 2),I'm Sorry - Single Version,1991-01-01
Gene Autry,The Essential Gene Autry,Buttons and Bows,2005-01-11
Roy Orbison,Sings Lonely and Blue,Only the Lonely,1961
The Everly Brothers,The Very Best of The Everly Brothers,Bye Bye Love,1964-08-01
Bobby Darin,Sing & Swing with Bobby Darin,Dream Lover,2007-10-30
Paul Anka,Sings His Favorites,Put Your Head on My Shoulder,1966
Bobby Vinton,The Best Of Bobby Vinton,Blue Velvet,1962
The Shirelles,The Best Of The Shirelles,Will You Love Me Tomorrow,1975
Dion & The Belmonts,The Best Of Dion & The Belmonts,A Teenager In Love,2005-01-01
The Drifters,All-Time Greatest Hits & More 1959-1965,Save the Last Dance for Me,1988-11-15
Paul Anka,Sings His Favorites,Diana,1966
Frankie Lymon & The Teenagers,The Best Of Frankie Lymon & The Teenagers,Why Do Fools Fall in Love,2005-07-26
The Platters,The Platters Golden Hits,Only You (And You Alone),1986-01-01
The Ronettes,Be My Baby: The Very Best of The Ronettes,Be My Baby,2011-02-22
Dion,Runaround Sue,Runaround Sue,1961
Buddy Holly,20 Golden Greats: Buddy Holly Lives,That'll Be The Day,1974-01-01
The Diamonds,The Best Of The Diamonds,Little Darlin',1996-01-01
The Del-Vikings,Come Go With Me: The Best Of The Del-Vikings,Come Go With Me,1997-01-01
Ritchie Valens,Ritchie Valens,Donna - Single Version,1959
Little Anthony & The Imperials,Greatest Hits,Tears on My Pillow,2005-09-20
The Monotones,Who Wrote The Book Of Love? [Digital Version],The Book of Love,2006-01-24
Dion,The Best Of Dion,The Wanderer,2001-01-01
The Marcels,The Best Of The Marcels,Blue Moon,1986
The Chordettes,The Chordettes' Best,Lollipop,2010-04-20
Eddie Cochran,12 Of His Biggest Hits,Summertime Blues,1960-05-01
Various Artists,American Graffiti,Since I Don't Have You - Single Version,1973-01-01
The Chordettes,Mister Sand Man,Mister Sandman,2004-01-08
Rascal Flatts,Rewind,I Like The Sound Of That,2014-01-01
Thomas Rhett,Tangled Up (Deluxe),Star Of The Show,2016-10-28
Ryan Hurd,Diamonds or Twine,Diamonds or Twine,2018-03-23
Ryan Hurd,To a T (Stripped),To a T - Stripped,2019-05-24
Keith Urban,Graffiti U,Female,2018-04-27
Brad Paisley,Hits Alive,Little Moments,2010-11-02
Keith Urban,Greatest Hits,Making Memories Of Us,2007-01-01
Keith Urban,God Whispered Your Name,God Whispered Your Name,2020-02-27
Kacey Musgraves,Golden Hour,Butterflies,2018-03-30
Keith Urban,Get Closer (Deluxe Version),All For You,2010-01-01
Sam Hunt,SOUTHSIDE,Body Like A Back Road,2020-04-03
Bryce Vine,Carnival,Drew Barrymore,2019-07-26
Jameson Rodgers,Jameson Rodgers,Some Girls,2018-01-19
Florida Georgia Line,Dig Your Roots,May We All,2016-08-26
mike.,Fly You to the Moon,Fly You to the Moon,2019-01-28
Florida Georgia Line,Can't Say I Ain't Country,Simple,2019-02-15
Chase Rice,"The Album, Pt. I",Best Night Ever,2020-01-24
Chase Rice,"The Album, Pt. I",In The Car,2020-01-24
Chase Rice,"The Album, Pt. I",Everywhere,2020-01-24
Chase Rice,"The Album, Pt. I",Lonely If You Are,2020-01-24
Taylor Swift,Taylor Swift,Teardrops on My Guitar - Pop Version,2006-10-24
Old Dominion,Happy Endings,No Such Thing as a Broken Heart,2017-08-25
Kane Brown,Mixtape Vol. 1 - EP,Didn't Know What Love Was,2020-08-14
Kane Brown,Experiment Extended,One Night Only,2019-11-01
Old Dominion,Happy Endings,Hotel Key,2017-08-25
Sam Hunt,Body Like A Back Road,Body Like A Back Road,2017-02-01
Morgan Wallen,If I Know Me,Not Good At Not,2018-04-27
Morgan Wallen,If I Know Me,If I Know Me,2018-04-27
Morgan Wallen,If I Know Me,Little Rain,2018-04-27
Morgan Wallen,If I Know Me,Redneck Love Song,2018-04-27
Dylan Scott,Eastside,Eastside,2018-12-14
Florida Georgia Line,Here's To The Good Times...This Is How We Roll,This Is How We Roll,2013-01-01
Jason Aldean,Night Train,Take A Little Ride,2012-10-16
Thomas Rhett,Center Point Road,Things You Do For Love,2019-05-31
Thomas Rhett,Center Point Road,Don’t Stop Drivin’,2019-05-31
Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),2020-05-27
Sam Hunt,Montevallo,Leave The Night On,2014-10-27
Thomas Rhett,It Goes Like This,It Goes Like This,2013-01-01
Sam Hunt,Montevallo,Cop Car,2014-10-27
Old Dominion,Meat and Candy,Break Up with Him,2015-11-06
Keith Urban,Fuse,Somewhere In My Car,2013-01-01
Keith Urban,Fuse,Even The Stars Fall 4 U,2013-01-01
Tyler Rich,Tyler Rich EP,The Difference,2019-03-29
Luke Bryan,Crash My Party,That's My Kind Of Night,2013-01-01
Luke Bryan,Born Here Live Here Die Here,Knockin' Boots,2020-08-07
Petric,It Girl,It Girl,2015-10-16
Cole Swindell,Cole Swindell,Let Me See Ya Girl,2014-02-18
Keith Urban,Ripcord,The Fighter,2016-05-06
Chris Lane,Laps Around The Sun,Bad Girl,2018-07-13
Chris Lane,Laps Around The Sun,Take Back Home Girl (feat. Tori Kelly),2018-07-13
Chris Lane,Laps Around The Sun,Fishin',2018-07-13
Thomas Rhett,Center Point Road,Notice,2019-05-31
Kane Brown,Experiment Extended,Good as You,2019-11-01
Dustin Lynch,Tullahoma,Good Girl,2020-01-17
Chris Lane,Laps Around The Sun,Laps Around The Sun,2018-07-13
Chris Lane,Laps Around The Sun,All The Right Problems,2018-07-13
Chris Lane,Laps Around The Sun,Without You (feat. Danielle Bradbery),2018-07-13
Luke Bryan,What She Wants Tonight,What She Wants Tonight,2019-10-24
Dylan Scott,Dylan Scott (Deluxe Edition),Lay It On Me,2017-08-04
Dylan Scott,Dylan Scott (Deluxe Edition),Sleeping Beauty,2017-08-04
Dylan Scott,Dylan Scott (Deluxe Edition),Can't Take Her Anywhere,2017-08-04
Dylan Scott,Dylan Scott (Deluxe Edition),Freak Show,2017-08-04
Cole Swindell,Single Saturday Night,Single Saturday Night,2020-05-22
Blake Shelton,Happy Anywhere (feat. Gwen Stefani),Happy Anywhere (feat. Gwen Stefani),2020-07-24
Justin Bieber,Holy,Holy (feat. Chance The Rapper),2020-09-18
Nathan Jackson,Turn The Lights Down Low,Turn The Lights Down Low,2020-01-26
Aaron Watson,Whisper My Name,Whisper My Name,2020-06-19
Old Dominion,Old Dominion,Never Be Sorry,2019-10-25
Faith Hill,Breathe,If I'm Not in Love with You,1999-11-09
Trisha Yearwood,Jasper County,Georgia Rain,2005-01-01
Trisha Yearwood,Inside Out,I Would've Loved You Anyway,2001-06-05
Kenny Rogers,Timepiece - Orchestral Sessions with David Foster,You Are so Beautiful,1994-09-13
Faith Hill,Faith,Just to Hear You Say That You Love Me (with Tim McGraw),1998-04-10
Nashville Tribute Collection,#1 Hits of Garth Brooks,To Make You Feel My Love (Garth Brooks),2017-10-26
George Strait,Best Of (Deluxe Edition),I Cross My Heart,2011-01-01
George Strait,Best Of (Deluxe Edition),Carried Away,2011-01-01
Alan Jackson,34 Number Ones,Remember When,2010-11-19
Trisha Yearwood,Greatest Hits,How Do I Live - Songbook Version,2007-01-01
Jimmy Wayne,Jimmy Wayne,I Love You This Much,2003-06-24
Lonestar,Simply The Hits,Amazed,2011-04-19
Tim McGraw,A Place In The Sun,Please Remember Me,1999-05-04
Travis Tritt,Down The Road I Go,Best of Intentions,2000-10-01
Reba McEntire,So Good Together,I'll Be,1999-11-23
Travis Tritt,It's All About to Change,Anymore,1991
Brad Paisley,My Miracle,My Miracle,2019-03-11
Aaron Lewis,Town Line,Tangled Up In You,2011-03-01
Florida Georgia Line,H.O.L.Y.,H.O.L.Y.,2016-04-29
Newsong,More Life,When God Made You,1995-06-16
Alan Jackson,Here In The Real World,I'd Love You All Over Again,1990-02-27
John Michael Montgomery,John Michael Montgomery,I Can Love You Like That,1995-03-17
Josh Turner,Everything Is Fine,Soulmate,2007-01-01
John Michael Montgomery,Love Songs,I Love the Way You Love Me,2002
Tim McGraw,Emotional Traffic,Better Than I Used To Be,2012-01-24
Brad Paisley,Mud On The Tires,Little Moments,2003-01-01
Phil Vassar,Phil Vassar,Just Another Day In Paradise,2000-02-21
Zac Brown Band,The Foundation,Free,2008-11-17
Keith Whitley,A Tribute Album,When You Say Nothing At All,1994
Mark Wills,Wish You Were Here,I Do (Cherish You),1998-01-01
Clay Walker,Top 10,This Woman and This Man,2010-08-23
Vince Gill,When I Call Your Name,When I Call Your Name,1989-01-01
Vince Gill,I Still Believe In You,I Still Believe In You,1992-01-01
Kenny Chesney,Greatest Hits,You Had Me from Hello,2000-09-25
Country Music Masters,The Greatest Hits - Volume 1 - Garth Brooks Tribute,The Dance,2010-08-08
Country Music Masters,The Greatest Hits - Volume 1 - Garth Brooks Tribute,To Make You Feel My Love,2010-08-08
Country Music Masters,The Greatest Hits - Volume 1 - Garth Brooks Tribute,Unanswered Prayers,2010-08-08
Clint Black,Nothin' But The Taillights,Nothin' But The Taillights,1997-04-09
Alan Jackson,Genuine: The Alan Jackson Story,I'll Try,2015-11-06
Chris Cagle,The Best Of Chris Cagle,"I Breathe In, I Breathe Out",2010-01-01
Sam Hunt,SOUTHSIDE,2016,2020-04-03
Jade Eagleson,Close,Close,2020-04-24
Chrissy Metz,Talking To God,Talking To God,2020-04-03
Kip Moore,Crazy For You Tonight,Crazy For You Tonight,2020-05-01
Chase Rice,Lambs & Lions (Worldwide Deluxe),Eyes On You,2019-03-01
Stan Walker,Tennessee Whiskey,Tennessee Whiskey,2017-05-05
K-Ci & JoJo,Love Always,All My Life,1997-01-01
Mark Masri,Beating Heart,It Must Have Been Love,2016-01-29
Lifehouse,Lifehouse,You And Me,2005-03-22
Snow Patrol,Eyes Open,Chasing Cars,2006-01-01
The Fray,How To Save A Life,How to Save a Life,2005-09-13
James Blunt,Back to Bedlam,You're Beautiful,2005-08-08
Teddy Swims,You're Still The One,You're Still The One,2020-07-17
Teddy Swims,I Can't Make You Love Me,I Can't Make You Love Me,2019-10-04
Teddy Swims,Someone You Loved,Someone You Loved,2019-07-26
Edwin McCain,Misguided Roses,I'll Be,1997
Donell Jones,Where I Wanna Be,Shorty (Got Her Eyes on Me),1999-05-29
Giveon,Spotify Singles,Untitled (How Does It Feel),2020-08-28
Jazmine Sullivan,Lost One,Lost One,2020-08-28
Keith Urban,Fuse (Deluxe),Cop Car,2013-09-10
Chris Bandi,Man Enough Now,Man Enough Now,2019-10-11
Rascal Flatts,Unstoppable,Here Comes Goodbye,2009-01-01
Seth Ennis,Mabelle - EP,Woke Up in Nashville,2017-08-11
Jason Aldean,Rearview Town,You Make It Easy,2018-04-13
Martina McBride,Evolution,A Broken Wing,1997-08-26
Little Big Town,The Breaker,Better Man,2017-02-24
Mitchell Tenpenny,Telling All My Secrets,Somebody Ain't You,2018-12-14
Kacey Musgraves,Golden Hour,Space Cowboy,2018-03-30
Cole Swindell,You Should Be Here,Middle of a Memory,2016-05-06
Dan + Shay,Obsessed,From the Ground Up,2016-06-03
J. Hartley,Boy Meets Girl,Boy Meets Girl,2019-07-26
Dan + Shay,Where It All Began,19 You + Me,2014-04-01
Sugarland,Enjoy The Ride,Stay,2006-01-01
Sam Hunt,Between The Pines (Acoustic Mixtape),Come Over - Acoustic Mixtape,2015-10-23
Brantley Gilbert,Halfway To Heaven (Deluxe),You Don't Know Her Like I Do,2010
Chris Lane,Girl Problems,Back To Me,2016-07-12
Jana Kramer,Jana Kramer,Why Ya Wanna,2012-06-01
Rascal Flatts,Back To Us,Are You Happy Now,2017-05-19
Brett Young,Brett Young,Like I Loved You,2017-02-10
Zac Brown Band,You Get What You Give (Deluxe),Colder Weather,2010-09-20
Michael Bublé,It's Time,Home,2005-02-08
Joel Adams,Please Don't Go,Please Don't Go,2015-11-06
Sam Fischer,This City,This City,2019-12-11
Rhys Lewis,Things I Chose To Remember,No Right To Love You - Acoustic,2020-07-10
Luke Combs,Spotify Singles,Dive - Recorded At Sound Stage Nashville,2018-03-07
Rihanna,Loud,California King Bed,2010-11-15
Dan + Shay,Dan + Shay,Tequila,2018-06-22
Kings of Leon,Come Around Sundown,Pickup Truck,2010-10-19
Kings of Leon,Mechanical Bull (Expanded Edition),Beautiful War,2013-09-24
Kings of Leon,Only By The Night,Cold Desert,2008-09-23
Kings of Leon,WALLS,WALLS,2016-10-14
Kings of Leon,Come Around Sundown,The Face,2010-10-19
Faith Hill,Fireflies,I Want You,2005-08-02
Faith Hill,Breathe,If I Should Fall Behind,1999-11-09
Tim McGraw,Greatest Hits,Let's Make Love,2000-11-21
Tim McGraw,Greatest Hits,My Best Friend,2000-11-21
Tim McGraw,Greatest Hits,It's Your Love,2000-11-21
Tim McGraw,"Greatest Hits, Vol. 2",Watch The Wind Blow By,2006-03-28
Brad Paisley,This Is Country Music,New Favorite Memory,2011-05-23
Eric Church,Chief,Like Jesus Does,2011-01-01
Miranda Lambert,Revolution,Love Song,2009-09-24
Miranda Lambert,Revolution,Makin' Plans,2009-09-24
Pistol Annies,Annie Up,Loved By A Workin' Man,2013-05-07
Kenny Chesney,The Road And The Radio,You Save Me,2005-11-07
Kenny Chesney,Me And You,Me and You,1996
Brad Paisley,Part II,Two People Fell in Love,2001-05-29
Tracy Byrd,The Definitive Collection,The Keeper Of The Stars - Radio Edit,2007-01-01
Steve Azar,Sunshine (Everybody Needs A Little) - Single,Sunshine (Radio Edit),2009-08-04
Miranda Lambert,Platinum,Holding On to You,2014-06-02
Miranda Lambert,The Weight of These Wings,To Learn Her,2016-11-18
Luke Bryan,Kill The Lights,Home Alone Tonight,2015-08-07
Jason Aldean,"Old Boots, New Dirt",Just Gettin' Started,2014-09-17
Jason Aldean,Night Train,When She Says Baby,2012-10-16
Carrie Underwood,Storyteller,Heartbeat,2015-10-23
Jason Aldean,"Old Boots, New Dirt",Tonight Looks Good on You,2014-09-17
Cole Swindell,Cole Swindell,Hope You Get Lonely Tonight,2014-02-18
Lady A,747,Long Stretch Of Love,2014-09-30
The Nashville All-Stars,"Playing the Hits of Garth Brooks, Vol. 1",Callin' Baton Rouge,2015-10-07
Keith Urban,Greatest Hits,Somebody Like You,2007-01-01
Luke Bryan,Crash My Party (Deluxe),I See You,2014-08-12
Rodney Atkins,It's America,Tell A Country Boy,2010-06-29
Cole Swindell,You Should Be Here,Flatliner (feat. Dierks Bentley),2016-05-06
Florida Georgia Line,Anything Goes,Anything Goes,2014-10-14
Luke Bryan,Spring Break...Checkin' Out,Games,2015-03-10
Keith Urban,Ripcord,Break On Me,2016-05-06
Randy Houser,How Country Feels,Runnin' Outta Moonlight,2013-01-22
Luke Bryan,Kill The Lights (Deluxe),Kick The Dust Up,2015-08-07
Jake Owen,Barefoot Blue Jean Night,Barefoot Blue Jean Night,2011-08-26
Keith Urban,Ripcord,"John Cougar, John Deere, John 3:16",2016-05-06
Keith Urban,Fuse (Deluxe Edition),Cop Car,2013-01-01
Dustin Lynch,Where It's At,Hell Of A Night,2014-09-09
Luke Bryan,Tailgates & Tanlines,Drunk On You,2011-08-09
Dustin Lynch,Current Mood,Small Town Boy,2017-09-08
Luke Bryan,Crash My Party,I See You,2013-01-01
George Strait,Best Of (Deluxe Edition),Write This Down,2011-01-01
George Strait,Best Of (Deluxe Edition),Carrying Your Love With Me,2011-01-01
Rascal Flatts,Rewind,Rewind,2014-01-01
Luke Bryan,Kill The Lights,Move,2015-08-07
Thomas Rhett,Star Of The Show,Star Of The Show,2016-01-01
Dustin Lynch,Current Mood,Seein' Red,2017-09-08
Thomas Rhett,Tangled Up,Crash and Burn,2015-01-01
Devin Dawson,All On Me,All On Me,2017-02-17
Trace Adkins,Dangerous Man,Ladies Love Country Boys,2006-01-01
George Strait,Always Never The Same,Write This Down,1999-01-01
Seckond Chaynce,No Room to Breathe,My World,2018-03-01
Joe Nichols,Old Things New,Gimmie That Girl,2009
Milton Patton,Milton Patton,Get Us in Trouble,2015-07-02
Upchurch,"Project X, Vol. 1",Buzz Won't Last,2018-01-30
Seckond Chaynce,No Room to Breathe,All the Way Down,2018-03-01
Tim McGraw,Everywhere,Where The Green Grass Grows,1997-06-03
Kenny Chesney,Hemingway's Whiskey,Somewhere With You,2010-09-28
Eric Paslay,Eric Paslay,Friday Night,2014-01-01
Eric Paslay,Eric Paslay,Song About A Girl,2014-01-01
Gary Allan,Set You Free,Every Storm (Runs Out Of Rain),2013
Carrie Underwood,Storyteller,Church Bells,2015-10-23
High Valley,Dear Life,Make You Mine,2016-11-18
Jason Aldean,Night Train,Night Train,2012-10-16
Craig Morgan,My Kind Of Livin',That's What I Love About Sunday,2005-03-08
Joe Nichols,Crickets,Yeah,2013-10-08
Rascal Flatts,Me And My Gang,What Hurts The Most,2006-01-01
Frankie Ballard,Sunshine & Whiskey,Sunshine & Whiskey,2014-04-03
Cole Swindell,Cole Swindell,Swayin',2014-02-18
Easton Corbin,A Girl Like You,A Girl Like You,2017-01-27
Bottleneck,Keep 'em Spinnin,Darlin Angel (feat. Upchurch),2016-11-01
Tyler Wood,Outlaw Soul,Still Ridin Shotgun,2014-10-07
Jason Aldean,Rearview Town,Girl Like You,2018-04-13
Florida Georgia Line,Anything Goes,Confession,2014-10-14
Dustin Lynch,Small Town Boy,Small Town Boy,2017-02-17
Granger Smith,When The Good Guys Win,Happens Like That,2017-10-27
Russell Dickerson,Yours,Blue Tacoma,2017-10-13
Russell Dickerson,Yours,MGNO,2017-10-13
Jake Owen,Days of Gold,Drivin' All Night,2013-12-02
Jake Owen,Days of Gold,Beachin',2013-12-02
Kid Rock,Rock n Roll Jesus,All Summer Long,2007-10-09
Old Crow Medicine Show,O.C.M.S.,Wagon Wheel,2004-02-10
Thomas Rhett,Life Changes (Big Machine Radio Release Special),Unforgettable,2017-09-08
Brett Young,Brett Young (Big Machine Radio Release Special),In Case You Didn't Know,2017-02-10
Dan + Shay,Dan + Shay,Alone Together,2018-06-22
Dan + Shay,Dan + Shay,What Keeps You Up At Night,2018-06-22
Dan + Shay,Dan + Shay,Keeping Score (feat. Kelly Clarkson),2018-06-22
Dan + Shay,Dan + Shay,Make or Break,2018-06-22
Dan + Shay,Dan + Shay,Stupid Love,2018-06-22
Dan + Shay,Dan + Shay,No Such Thing,2018-06-22
Dan + Shay,Dan + Shay,My Side of the Fence,2018-06-22
Dan + Shay,Dan + Shay,Island Time,2018-06-22
Midland,On The Rocks,Drinkin' Problem,2017-09-22
Old Crow Medicine Show,Carry Me Back to Virginia,Carry Me Back to Virginia (from 'Carry Me Back' Album),2013-06-25
Jason Aldean,They Don't Know,Any Ol' Barstool,2016-09-09
Thomas Rhett,It Goes Like This,Get Me Some Of That,2013-01-01
Billy Currington,Billy Currington,That's Just Me,2003-01-01
Russell Dickerson,Spotify Singles,Man in the Mirror - Recorded at Sound Stage Studios Nashville,2018-02-07
Luke Combs,What You See Is What You Get,Beer Never Broke My Heart,2019-11-08
Darius Rucker,True Believers,Take Me Home,2013-01-01
Eric Church,Chief,Homeboy,2011-01-01
Elvie Shane,My Boy,My Boy,2020-06-05
Lee Brice,Lee Brice,Boy,2017-11-03
Otis Redding,Otis Blue: Otis Redding Sings Soul (Collector's Edition),My Girl,1965-09-15
Thompson Square,Thompson Square,Glass,2011-02-08
Thomas Rhett,When I Was Your Man,When I Was Your Man,2015-01-01
Kane Brown,Chapter 1 - EP,Used to Love You Sober,2016-03-25
Kane Brown,Kane Brown,Hometown,2016-12-02
Thomas Rhett,Die A Happy Man,Die A Happy Man,2015-01-01
Dustin Lynch,Dustin Lynch,Hurricane,2012-08-21
Various Artists,8 Seconds,When Will I Be Loved,1994-01-18
Josh Turner,Best Of,Would You Go With Me,2011-01-01
MountainCity,Come Away With Me,Come Away With Me,2017-05-12
